alpha,crw_jaccard_mean,crw_jaccard_median,crw_jaccard_p10,crw_spearman_mean,crw_kendall_mean
0.01,0.4411658363273562,0.4117647058823529,0.2631578947368421,0.8974793742149725,0.7663788949157795
0.1,0.4411658363273562,0.4117647058823529,0.2631578947368421,0.8974793742149725,0.7663788949157795
0.2,0.4411658363273562,0.4117647058823529,0.2631578947368421,0.8974793742149725,0.7663788949157795
0.3,0.4459660260139217,0.4117647058823529,0.2631578947368421,0.9003143489418429,0.7696192772339822
0.4,0.4711884797623739,0.44,0.2857142857142857,0.912470758744876,0.786031376683104
0.5,0.5098946532557531,0.5,0.3333333333333333,0.9294850401458332,0.8100532687001094
0.6,0.4988294649763938,0.4693877551020408,0.3333333333333333,0.9251828028661992,0.8035687036112663
0.7,0.4894249344115311,0.4693877551020408,0.3090909090909091,0.9220994597481328,0.7996628027787703
0.8,0.4828026307850809,0.4693877551020408,0.3090909090909091,0.9190586686470528,0.7953097377060635
0.9,0.477530970500271,0.44,0.3090909090909091,0.9166844181280954,0.7919606738672881
1.0,0.4737616087640592,0.44,0.2857142857142857,0.9147802033112616,0.7893019208943153
1.1,0.4705259725739897,0.44,0.2857142857142857,0.913216182063732,0.7871411934854531
1.2,0.4679241699103237,0.44,0.2857142857142857,0.9119083152120432,0.7853522171878464
1.3,0.4656667426234797,0.44,0.2857142857142857,0.9107995390334857,0.7838423099971804
1.4,0.4637767269496878,0.44,0.2857142857142857,0.9098467511237756,0.7825502549285275
1.5,0.4621534716654415,0.44,0.2857142857142857,0.9090195714394308,0.7814343732692668
1.8,0.4584125410743903,0.44,0.2857142857142857,0.9070897270074462,0.7788418530832748
2.1,0.4558444524211116,0.44,0.2857142857142857,0.9057101047140608,0.7770068891144822
2.4,0.4539875096297472,0.4117647058823529,0.2857142857142857,0.9046682007505692,0.7756319253078053
2.7,0.4524382499807372,0.4117647058823529,0.2857142857142857,0.9038522008497168,0.7745623271464834
3.0,0.4512242060965075,0.4117647058823529,0.2857142857142857,0.9032016960880804,0.7737105601387851
