alpha,crw_jaccard_mean,crw_jaccard_median,crw_jaccard_p10,crw_spearman_mean,crw_kendall_mean
0.0,1.0,1.0,1.0,0.9999999999999998,1.0
0.1,0.8536548472273038,0.8947368421052632,0.6744186046511628,0.9949654737384108,0.9616490582277617
0.2,0.8536548472273038,0.8947368421052632,0.6744186046511628,0.9949654737384108,0.9616490582277617
0.3,0.8533904193500034,0.8947368421052632,0.6744186046511628,0.9949629742659841,0.9614957800299161
0.4,0.8534705374862631,0.8947368421052632,0.6744186046511628,0.9949118796236559,0.9613059306922447
0.5,0.8518873443132083,0.8461538461538461,0.6744186046511628,0.9947678981555182,0.9608998432538848
0.6,0.8518348954975518,0.8461538461538461,0.6744186046511628,0.9947698030193177,0.9608539400008885
0.7,0.8654450960113681,0.8947368421052632,0.7142857142857143,0.9959238386899538,0.965641560322518
0.8,0.9188982167804474,0.9459459459459459,0.8,0.9985167465746119,0.9797282228527767
0.9,0.9847941941023196,1.0,0.9459459459459459,0.9999528774933887,0.9968254913737694
1.0,0.9402810181461669,0.9459459459459459,0.8461538461538461,0.9990617301888475,0.984001602237634
1.1,0.8904993677137865,0.8947368421052632,0.7560975609756098,0.9963491993779153,0.9672963456472912
1.2,0.8520214876431231,0.8947368421052632,0.6744186046511628,0.992432075181466,0.9520291053541599
1.3,0.8230026809461863,0.8461538461538461,0.6363636363636364,0.9878283077225025,0.9383825693102562
1.4,0.800114654709273,0.8461538461538461,0.6,0.9828997935010133,0.9262209641101644
1.5,0.7818402510609347,0.8,0.5652173913043478,0.9778882473192323,0.9154189576984983
1.8,0.7446235243516156,0.7560975609756098,0.46938775510204084,0.9636079020155788,0.8895836825421101
2.1,0.7217689358132408,0.7560975609756098,0.44,0.9513775081491473,0.8708894490745616
2.4,0.7067895428446845,0.7142857142857143,0.4117647058823529,0.9412451091293259,0.8569525219013476
2.7,0.6954593622424893,0.7142857142857143,0.4117647058823529,0.9328443770087858,0.846150868866039
3.0,0.68732884791772,0.7142857142857143,0.38461538461538464,0.9258648661376137,0.837631006457747
