alpha,crw_jaccard_mean,crw_jaccard_median,crw_jaccard_p10,crw_spearman_mean,crw_kendall_mean
0.01,0.627018214141275,0.6363636363636364,0.3846153846153846,0.934072538743575,0.8307407756584035
0.1,0.6332522967278892,0.6363636363636364,0.3846153846153846,0.937649078993304,0.8357338178413123
0.2,0.6467661081391222,0.6363636363636364,0.4117647058823529,0.9468753621920558,0.849603178147831
0.3,0.7029728652124515,0.7142857142857143,0.5,0.9696725485702056,0.8895524344683937
0.4,0.7429449198111994,0.7560975609756098,0.5652173913043478,0.9813070499098728,0.9147434867334984
0.5,0.7776748119216934,0.8,0.6,0.9872807307828008,0.9309518141977022
0.6,0.789536288582775,0.8,0.6363636363636364,0.9891936418832664,0.93661176679654
0.7,0.7750095396571879,0.8,0.6,0.987093710381067,0.9303063830370386
0.8,0.7479317179081939,0.7560975609756098,0.5652173913043478,0.9822771075175334,0.9173830755973656
0.9,0.7487002541509532,0.7560975609756098,0.5652173913043478,0.9829297351626608,0.9184195671232134
1.0,0.7384428045710759,0.7560975609756098,0.5319148936170213,0.9808158901288636,0.9130351896259844
1.1,0.7237628302952458,0.7142857142857143,0.5319148936170213,0.9772486998202392,0.9047239939144855
1.2,0.712455400670607,0.7142857142857143,0.5,0.9741234739173256,0.8979205442879957
1.3,0.7034971450842837,0.7142857142857143,0.5,0.971378999351444,0.8922415708186581
1.4,0.6963127131780864,0.7142857142857143,0.4693877551020408,0.9689645904487204,0.8874477723563527
1.5,0.6904799127793146,0.7142857142857143,0.4693877551020408,0.9668276440841036,0.8833413608042294
1.8,0.6776291097550768,0.6744186046511628,0.44,0.9617002107601345,0.8739422544475248
2.1,0.6689345603618541,0.6744186046511628,0.44,0.9579293340814772,0.8673845163980107
2.4,0.662734077405725,0.6744186046511628,0.44,0.9550530116367278,0.862547915462667
2.7,0.6578927754005769,0.6744186046511628,0.44,0.952781291206564,0.8588223946070342
3.0,0.6542926806530343,0.6744186046511628,0.4117647058823529,0.9509514095349016,0.8558795001739575
