alpha,jaccard_mean,jaccard_mean_lo,jaccard_mean_hi,spearman_mean,spearman_mean_lo,spearman_mean_hi,kendall_mean,kendall_mean_lo,kendall_mean_hi,weight_stability_spearman,weight_cv_mean,rec_stability_jaccard,rec_stability_spearman
0.01,1.0,1.0,1.0,0.9999999999999998,0.9999999999999998,0.9999999999999998,1.0,1.0,1.0,,0.0,1.0,1.0
0.034,1.0,1.0,1.0,0.9999999999999998,0.9999999999999998,0.9999999999999998,1.0,1.0,1.0,,0.0,1.0,1.0
0.059,1.0,1.0,1.0,0.9999999999999998,0.9999999999999998,0.9999999999999998,1.0,1.0,1.0,,0.0,1.0,1.0
0.083,1.0,1.0,1.0,0.9999999999999998,0.9999999999999998,0.9999999999999998,1.0,1.0,1.0,,0.0,1.0,1.0
0.107,0.9890155977448293,0.9867722362464706,0.9919551742350559,0.9999621284640817,0.9999414820583127,0.9999753100084137,0.9978204965823458,0.9970346175099501,0.998342099099996,1.0,0.0009236932957140505,0.993072054903509,0.9988096467673762
0.132,0.982920849278593,0.9810070899084411,0.9845986113072299,0.9998784372659735,0.9998605443331703,0.9998868718027147,0.9956197433470816,0.9953124094701311,0.995799670390328,1.0,0.0007851317013179174,0.9941540390767873,0.9990320935935664
0.156,0.9757972742747605,0.9750489531959966,0.9768336017052123,0.9997981384727167,0.9997673277642191,0.9998176385862508,0.9938668022310605,0.9934895337029593,0.9941134212459513,0.9310815070715084,0.0008590734941872507,0.9923490361162237,0.9986718014458719
0.181,0.9668154127793755,0.9638516887021576,0.9692077609738321,0.9996870316142086,0.9996460914567191,0.9997095758129154,0.9914730466455224,0.9907262203003236,0.9920551843912792,0.8876870965900874,0.00268174023506204,0.9907720735167486,0.9985241056433806
0.205,0.9630693958513351,0.9612104666133778,0.9665534556993882,0.9996489372193281,0.9996233998111353,0.9997253234734288,0.9906689051254892,0.9901801965276188,0.9918191983113911,0.8997999689249616,0.0037512402550570283,0.9901254685684204,0.9984791287782198
0.229,0.9628289219659703,0.9605410313067343,0.9664843100210407,0.9996607929621139,0.9996034913092336,0.9997329864210402,0.9906660241981887,0.98988027279967,0.9917898070434897,0.878583758577349,0.004150531617323462,0.9878146897982989,0.9981001564778269
0.254,0.9612725540383676,0.9594360238479324,0.9635154162674056,0.9996976422711134,0.9996305531552928,0.9997618043143207,0.9907146519119541,0.9900468880688106,0.9915806265536263,0.869770778889016,0.0047877241861975705,0.9840419768518454,0.9973909154885605
0.278,0.958044683517182,0.9564382652445665,0.9595218339864544,0.9996931555737152,0.9996459809128195,0.9997380481516588,0.9900570892708058,0.9896463355978989,0.990645853885088,0.9224619034785213,0.0045069806697969166,0.9862661204037201,0.9980043880156553
0.302,0.957371082433913,0.9556172960804186,0.95930716815266,0.9997152436305143,0.9996728420964166,0.9997544666726292,0.9902727724906674,0.9897609175037305,0.990883057844959,0.9110049435979202,0.004544120246328374,0.9861665690491492,0.9979974255845712
0.327,0.9589377860394608,0.9575842099163006,0.9610244883423704,0.999740132697301,0.9997061251617453,0.9997796738349495,0.9907621074186246,0.9902839209942261,0.9914364338060503,0.905925778514254,0.004193538934329339,0.9866169496516063,0.9980749352387344
0.351,0.9600652946020952,0.9585251193530925,0.9626761323162264,0.9997540799703026,0.9997155222673776,0.9997999492334493,0.9910889885272883,0.9905379882825585,0.9918962270704456,0.8806398445862312,0.00448138237540001,0.9864524357665673,0.9980282220133085
0.375,0.9604872920021649,0.9589673418575873,0.962907242445697,0.9997566403509248,0.9997118883709292,0.9998032243184977,0.9912410555865347,0.9905959343738788,0.9920645701697864,0.8655506231116081,0.004715631596280788,0.9854253528066522,0.9978332155547687
