seed,alpha,ID_question,weight
0,0.01,32214,1.0
0,0.01,32215,1.0
0,0.01,32216,1.0
0,0.01,32217,1.0
0,0.01,32218,1.0
0,0.01,32219,1.0
0,0.01,32220,1.0
0,0.01,32221,1.0
0,0.01,32222,1.0
0,0.01,32223,1.0
0,0.01,32224,1.0
0,0.01,32225,1.0
0,0.01,32226,1.0
0,0.01,32227,1.0
0,0.01,32228,1.0
0,0.01,32229,1.0
0,0.01,32230,1.0
0,0.01,32231,1.0
0,0.01,32232,1.0
0,0.01,32233,1.0
0,0.01,32234,1.0
0,0.01,32235,1.0
0,0.01,32236,1.0
0,0.01,32237,1.0
0,0.01,32238,1.0
0,0.01,32239,1.0
0,0.01,32240,1.0
0,0.01,32241,1.0
0,0.01,32242,1.0
0,0.01,32243,1.0
0,0.01,32244,1.0
0,0.01,32245,1.0
0,0.01,32246,1.0
0,0.01,32247,1.0
0,0.01,32248,1.0
0,0.01,32249,1.0
0,0.01,32250,1.0
0,0.01,32251,1.0
0,0.01,32252,1.0
0,0.01,32253,1.0
0,0.01,32254,1.0
0,0.01,32255,1.0
0,0.01,32256,1.0
0,0.01,32257,1.0
0,0.01,32258,1.0
0,0.01,32259,1.0
0,0.01,32260,1.0
0,0.01,32261,1.0
0,0.01,32262,1.0
0,0.01,32263,1.0
0,0.01,32264,1.0
0,0.01,32265,1.0
0,0.01,32266,1.0
0,0.01,32267,1.0
0,0.01,32268,1.0
0,0.01,32269,1.0
0,0.01,32270,1.0
0,0.01,32271,1.0
0,0.01,32272,1.0
0,0.01,32273,1.0
0,0.01,32274,1.0
0,0.01,32275,1.0
0,0.01,32276,1.0
0,0.01,32277,1.0
0,0.01,32278,1.0
0,0.01,32279,1.0
0,0.01,32280,1.0
0,0.01,32281,1.0
0,0.01,32282,1.0
0,0.01,32283,1.0
0,0.01,32284,1.0
0,0.01,32285,1.0
0,0.01,32286,1.0
0,0.01,32287,1.0
0,0.01,32288,1.0
0,0.034,32214,1.0
0,0.034,32215,1.0
0,0.034,32216,1.0
0,0.034,32217,1.0
0,0.034,32218,1.0
0,0.034,32219,1.0
0,0.034,32220,1.0
0,0.034,32221,1.0
0,0.034,32222,1.0
0,0.034,32223,1.0
0,0.034,32224,1.0
0,0.034,32225,1.0
0,0.034,32226,1.0
0,0.034,32227,1.0
0,0.034,32228,1.0
0,0.034,32229,1.0
0,0.034,32230,1.0
0,0.034,32231,1.0
0,0.034,32232,1.0
0,0.034,32233,1.0
0,0.034,32234,1.0
0,0.034,32235,1.0
0,0.034,32236,1.0
0,0.034,32237,1.0
0,0.034,32238,1.0
0,0.034,32239,1.0
0,0.034,32240,1.0
0,0.034,32241,1.0
0,0.034,32242,1.0
0,0.034,32243,1.0
0,0.034,32244,1.0
0,0.034,32245,1.0
0,0.034,32246,1.0
0,0.034,32247,1.0
0,0.034,32248,1.0
0,0.034,32249,1.0
0,0.034,32250,1.0
0,0.034,32251,1.0
0,0.034,32252,1.0
0,0.034,32253,1.0
0,0.034,32254,1.0
0,0.034,32255,1.0
0,0.034,32256,1.0
0,0.034,32257,1.0
0,0.034,32258,1.0
0,0.034,32259,1.0
0,0.034,32260,1.0
0,0.034,32261,1.0
0,0.034,32262,1.0
0,0.034,32263,1.0
0,0.034,32264,1.0
0,0.034,32265,1.0
0,0.034,32266,1.0
0,0.034,32267,1.0
0,0.034,32268,1.0
0,0.034,32269,1.0
0,0.034,32270,1.0
0,0.034,32271,1.0
0,0.034,32272,1.0
0,0.034,32273,1.0
0,0.034,32274,1.0
0,0.034,32275,1.0
0,0.034,32276,1.0
0,0.034,32277,1.0
0,0.034,32278,1.0
0,0.034,32279,1.0
0,0.034,32280,1.0
0,0.034,32281,1.0
0,0.034,32282,1.0
0,0.034,32283,1.0
0,0.034,32284,1.0
0,0.034,32285,1.0
0,0.034,32286,1.0
0,0.034,32287,1.0
0,0.034,32288,1.0
0,0.059,32214,1.0
0,0.059,32215,1.0
0,0.059,32216,1.0
0,0.059,32217,1.0
0,0.059,32218,1.0
0,0.059,32219,1.0
0,0.059,32220,1.0
0,0.059,32221,1.0
0,0.059,32222,1.0
0,0.059,32223,1.0
0,0.059,32224,1.0
0,0.059,32225,1.0
0,0.059,32226,1.0
0,0.059,32227,1.0
0,0.059,32228,1.0
0,0.059,32229,1.0
0,0.059,32230,1.0
0,0.059,32231,1.0
0,0.059,32232,1.0
0,0.059,32233,1.0
0,0.059,32234,1.0
0,0.059,32235,1.0
0,0.059,32236,1.0
0,0.059,32237,1.0
0,0.059,32238,1.0
0,0.059,32239,1.0
0,0.059,32240,1.0
0,0.059,32241,1.0
0,0.059,32242,1.0
0,0.059,32243,1.0
0,0.059,32244,1.0
0,0.059,32245,1.0
0,0.059,32246,1.0
0,0.059,32247,1.0
0,0.059,32248,1.0
0,0.059,32249,1.0
0,0.059,32250,1.0
0,0.059,32251,1.0
0,0.059,32252,1.0
0,0.059,32253,1.0
0,0.059,32254,1.0
0,0.059,32255,1.0
0,0.059,32256,1.0
0,0.059,32257,1.0
0,0.059,32258,1.0
0,0.059,32259,1.0
0,0.059,32260,1.0
0,0.059,32261,1.0
0,0.059,32262,1.0
0,0.059,32263,1.0
0,0.059,32264,1.0
0,0.059,32265,1.0
0,0.059,32266,1.0
0,0.059,32267,1.0
0,0.059,32268,1.0
0,0.059,32269,1.0
0,0.059,32270,1.0
0,0.059,32271,1.0
0,0.059,32272,1.0
0,0.059,32273,1.0
0,0.059,32274,1.0
0,0.059,32275,1.0
0,0.059,32276,1.0
0,0.059,32277,1.0
0,0.059,32278,1.0
0,0.059,32279,1.0
0,0.059,32280,1.0
0,0.059,32281,1.0
0,0.059,32282,1.0
0,0.059,32283,1.0
0,0.059,32284,1.0
0,0.059,32285,1.0
0,0.059,32286,1.0
0,0.059,32287,1.0
0,0.059,32288,1.0
0,0.083,32214,1.0
0,0.083,32215,1.0
0,0.083,32216,1.0
0,0.083,32217,1.0
0,0.083,32218,1.0
0,0.083,32219,1.0
0,0.083,32220,1.0
0,0.083,32221,1.0
0,0.083,32222,1.0
0,0.083,32223,1.0
0,0.083,32224,1.0
0,0.083,32225,1.0
0,0.083,32226,1.0
0,0.083,32227,1.0
