_category,category_id,n_questions,n_mini,question_ids,n_full_only,mean_impact,max_impact,min_impact,std_impact,sum_impact,mean_jaccard,mean_combined_var
Federal budget,11464,8,0,"[32281, 32282, 32283, 32284, 32285, 32286, 32287, 32288]",8,0.17578966551067426,0.1998579851133676,0.1382360581388276,0.018169000401526608,1.4063173240853941,0.8242103344893257,498365.115531692
Energy & transport,11458,7,3,"[32245, 32246, 32247, 32248, 32249, 32250, 32251]",4,0.3138737093658179,0.411289746452514,0.2049784834497022,0.07520736741114446,2.1971159655607253,0.6861262906341821,2278051.97193745
Values,11463,7,0,"[32274, 32275, 32276, 32277, 32278, 32279, 32280]",7,0.21251058640038625,0.2904722980164265,0.1638443306179792,0.039089745972679,1.4875741048027038,0.7874894135996138,1044049.4728787076
"Democracy, Media & Digitalization",11460,6,2,"[32258, 32259, 32260, 32261, 32262, 32263]",4,0.29050596369688436,0.4129941080041633,0.2058604216012299,0.0722324694757216,1.7430357821813063,0.7094940363031156,2194784.6614589985
Nature conservation,11459,6,3,"[32252, 32253, 32254, 32255, 32256, 32257]",3,0.2897831142041675,0.4336629732021324,0.1589301142316057,0.11996402150543134,1.7386986852250053,0.7102168857958325,1486159.8441286925
Welfare state & family,11451,6,3,"[32214, 32215, 32216, 32217, 32218, 32219]",3,0.31783044484880785,0.4596059335546146,0.2001122589864417,0.09713438190743207,1.906982669092847,0.6821695551511922,2235850.897334211
Economy & labour,11457,5,3,"[32240, 32241, 32242, 32243, 32244]",2,0.3205757524347205,0.3707337204132858,0.2857316930281252,0.03787140062058094,1.6028787621736025,0.6794242475652795,2245468.971544304
Foreign trade & foreign policy,11462,5,3,"[32269, 32270, 32271, 32272, 32273]",2,0.25169723551710327,0.4293415303255151,0.1410651644535218,0.11058149491553693,1.2584861775855163,0.7483027644828967,1716935.9230142862
Health,11452,5,2,"[32220, 32221, 32222, 32223, 32224]",3,0.3494271358367184,0.4445052778647584,0.2783954088032635,0.07138973529109383,1.7471356791835921,0.6505728641632815,2025684.3358823068
Security & military,11461,5,3,"[32264, 32265, 32266, 32267, 32268]",2,0.3121001868326453,0.4429167738548688,0.2022434946131983,0.09719641770269645,1.5605009341632263,0.6878998131673547,2164826.7641960853
Finances & taxes,11456,4,2,"[32236, 32237, 32238, 32239]",2,0.3280249369068513,0.4316178752038925,0.2187738148697444,0.10091638292294265,1.3120997476274052,0.6719750630931487,2204393.604644571
Immigration & integration,11454,4,3,"[32228, 32229, 32230, 32231]",1,0.3503842789564314,0.3973732602751427,0.2773533183000614,0.05150049455479809,1.4015371158257257,0.6496157210435686,2724788.4844425246
Society & ethics,11455,4,2,"[32232, 32233, 32234, 32235]",2,0.3061638929326328,0.4132629461030364,0.1526253312465946,0.11650096911128398,1.2246555717305312,0.6938361070673672,2081383.1269071784
Education,11453,3,1,"[32225, 32226, 32227]",2,0.3033547159870747,0.3119648888124848,0.2911650747474807,0.010852074081980393,0.910064147961224,0.6966452840129254,1639454.41617981
