n_clones,jaccard_mean,jaccard_median,jaccard_p10,spearman_mean,kendall_mean,n_changed_mean,avg_pos_moved_mean
1,0.846600257936083,0.8461538461538461,0.7142857142857143,0.9951394826820751,0.9588388681904295,978.0793124969994,18.535023238186312
2,0.7569359655535483,0.7560975609756098,0.5652173913043478,0.9838154527920853,0.9215573495706209,995.7751692352009,35.1716076127508
3,0.6982680967886478,0.7142857142857143,0.46938775510204084,0.9688071524757923,0.8880064766259667,1001.3546017571655,50.101771045928565
4,0.657318298781259,0.6744186046511628,0.44,0.9518548363770023,0.8578522973519949,1004.0980363915694,63.48335021614525
5,0.627018214141275,0.6363636363636364,0.38461538461538464,0.934072538743575,0.8307407756584035,1005.7669835325747,75.48181007072213
7,0.5843234562876478,0.5652173913043478,0.3333333333333333,0.898360071050487,0.7841618018011598,1007.7661193528254,96.03257703841467
10,0.5403940664453853,0.5319148936170213,0.3090909090909091,0.8486151316171331,0.7291240428220639,1009.3906332517164,120.21604787673388
15,0.4874707193405402,0.46938775510204084,0.2631578947368421,0.7804432069250808,0.6638913187393989,1010.6284987277354,148.6551799625634
20,0.4471311208508603,0.4117647058823529,0.22033898305084745,0.7282636275059811,0.6189098195148782,1011.3375582121081,168.07747234748444
30,0.3877380167681458,0.3584905660377358,0.18032786885245902,0.6559830257267324,0.5612582621550519,1012.0941715876902,192.60416690286738
