category,n_questions,n_pairs,mean_abs_r,max_abs_r,min_distance,mean_distance,std_distance
Immigration & integration,4,6,0.4534433945313292,0.6015069591483538,0.39849304085164616,0.5465566054686708,0.08459696506672074
Nature conservation,6,15,0.3336311699001791,0.49589200932463495,0.504107990675365,0.6663688300998208,0.09376991328746653
Society & ethics,4,6,0.29717697977627705,0.4040443653345406,0.5959556346654594,0.7028230202237231,0.06344031208870975
Foreign trade & foreign policy,5,10,0.25661526836982246,0.5021468385600647,0.4978531614399353,0.7433847316301776,0.16881383698132219
Federal budget,8,28,0.255357068482112,0.5263382857160511,0.4736617142839489,0.7446429315178881,0.14937573593713313
Values,7,21,0.24421617058259848,0.5028861409091322,0.4971138590908678,0.7557838294174014,0.14790852153340522
Economy & labour,5,10,0.24421573984564932,0.4635272316558534,0.5364727683441466,0.7557842601543507,0.11025489277286768
Welfare state & family,6,15,0.23498468654387122,0.5230902377421929,0.4769097622578071,0.7650153134561287,0.15542086923047074
Energy & transport,7,21,0.2132492055235186,0.5048094688272399,0.49519053117276013,0.7867507944764816,0.14876494400417964
Education,3,3,0.19181345156133658,0.270458171485489,0.729541828514511,0.8081865484386634,0.05587322490635104
Security & military,5,10,0.1908920002683963,0.5404606130766274,0.4595393869233726,0.8091079997316036,0.1347484220601109
"Democracy, Media & Digitalization",6,15,0.1555357855859413,0.2984098493615509,0.7015901506384491,0.8444642144140586,0.08823567839365361
Finances & taxes,4,6,0.14053022785883168,0.27854023387809523,0.7214597661219048,0.8594697721411683,0.10336974498203783
Health,5,10,0.11325157265179393,0.24099187534843092,0.7590081246515691,0.8867484273482061,0.07270503449757162
