ID1,ID2,Distance,cat1,cat2
32264,32287,0.6834182784170582,Security & military,Federal budget
32245,32285,0.7428621424607029,Energy & transport,Federal budget
32268,32272,0.8571054660710726,Security & military,Foreign trade & foreign policy
32219,32281,0.9213884789593505,Welfare state & family,Federal budget
32228,32231,0.9254101854447995,Immigration & integration,Immigration & integration
32276,32281,0.938354885437395,Values,Federal budget
32215,32281,0.9418177527610618,Welfare state & family,Federal budget
32265,32266,0.9998118571227994,Security & military,Security & military
32271,32280,1.0025537320280673,Foreign trade & foreign policy,Values
32238,32276,1.003491717229642,Finances & taxes,Values
32219,32276,1.0104546742957656,Welfare state & family,Values
32281,32288,1.0165080349594742,Federal budget,Federal budget
32266,32273,1.018242376699051,Security & military,Foreign trade & foreign policy
32215,32219,1.0203235342417336,Welfare state & family,Welfare state & family
32240,32281,1.020353142654923,Economy & labour,Federal budget
32280,32285,1.020368285384022,Values,Federal budget
32246,32280,1.0231753003082202,Energy & transport,Values
32228,32234,1.0256669929564257,Immigration & integration,Society & ethics
32244,32271,1.0292354269435342,Economy & labour,Foreign trade & foreign policy
32246,32285,1.0305265417148521,Energy & transport,Federal budget
32275,32281,1.0327726448639325,Values,Federal budget
32228,32262,1.0364304622391438,Immigration & integration,"Democracy, Media & Digitalization"
32219,32240,1.0392368558078875,Welfare state & family,Economy & labour
32244,32281,1.0402563641345959,Economy & labour,Federal budget
32255,32280,1.041430222228137,Nature conservation,Values
32246,32247,1.0416350944151291,Energy & transport,Energy & transport
32268,32269,1.0432913068720135,Security & military,Foreign trade & foreign policy
32276,32280,1.043861704210305,Values,Values
32227,32281,1.0439624051350627,Education,Federal budget
32269,32272,1.0447168164922898,Foreign trade & foreign policy,Foreign trade & foreign policy
32275,32276,1.0450189544832489,Values,Values
32247,32280,1.046644440330147,Energy & transport,Values
32271,32281,1.0477944155833696,Foreign trade & foreign policy,Federal budget
32254,32255,1.0519345902324626,Nature conservation,Nature conservation
32228,32281,1.0528786278875963,Immigration & integration,Federal budget
32269,32273,1.0549951572335405,Foreign trade & foreign policy,Foreign trade & foreign policy
32231,32262,1.0558758709101577,Immigration & integration,"Democracy, Media & Digitalization"
32230,32281,1.0601635240400074,Immigration & integration,Federal budget
32219,32271,1.0610288586797916,Welfare state & family,Foreign trade & foreign policy
32218,32281,1.0610827084054626,Welfare state & family,Federal budget
32228,32230,1.0628871709867191,Immigration & integration,Immigration & integration
32280,32281,1.063974643339555,Values,Federal budget
32234,32281,1.0687141854611213,Society & ethics,Federal budget
32240,32271,1.070975272222986,Economy & labour,Foreign trade & foreign policy
32228,32279,1.0727460332175258,Immigration & integration,Values
32234,32262,1.074361396787261,Society & ethics,"Democracy, Media & Digitalization"
32219,32275,1.075190253651038,Welfare state & family,Values
32286,32287,1.0753933673302445,Federal budget,Federal budget
32219,32227,1.0791801128297893,Welfare state & family,Education
32228,32229,1.0809992952319591,Immigration & integration,Immigration & integration
32219,32244,1.0828936070965207,Welfare state & family,Economy & labour
