ID1,ID2,Distance,cat1,cat2
32215,32222,0.17995731165458195,Welfare state & family,Health
32242,32251,0.20187698788446565,Economy & labour,Energy & transport
32270,32272,0.21868813866159265,Foreign trade & foreign policy,Foreign trade & foreign policy
32284,32285,0.22215348081194955,Federal budget,Federal budget
32268,32272,0.22821050635248097,Security & military,Foreign trade & foreign policy
32216,32217,0.23208362745977515,Welfare state & family,Welfare state & family
32272,32273,0.2428064129040641,Foreign trade & foreign policy,Foreign trade & foreign policy
32218,32277,0.26098210301917923,Welfare state & family,Values
32266,32273,0.26136961466469416,Security & military,Foreign trade & foreign policy
32229,32272,0.26246990757979993,Immigration & integration,Foreign trade & foreign policy
32248,32280,0.2630719176183891,Energy & transport,Values
32286,32287,0.27708465939159066,Federal budget,Federal budget
32219,32243,0.27828240387391934,Welfare state & family,Economy & labour
32265,32266,0.27947437541512077,Security & military,Security & military
32229,32231,0.28170273687179465,Immigration & integration,Immigration & integration
32268,32273,0.28331759540007617,Security & military,Foreign trade & foreign policy
32229,32271,0.2837813164322667,Immigration & integration,Foreign trade & foreign policy
32229,32240,0.2855593823408636,Immigration & integration,Economy & labour
32215,32224,0.2878450065090878,Welfare state & family,Health
32271,32272,0.2916194105467004,Foreign trade & foreign policy,Foreign trade & foreign policy
32281,32288,0.2926589344917838,Federal budget,Federal budget
32236,32263,0.29910783828621973,Finances & taxes,"Democracy, Media & Digitalization"
32270,32273,0.2995697990051954,Foreign trade & foreign policy,Foreign trade & foreign policy
32266,32268,0.3001009691715321,Security & military,Security & military
32247,32280,0.3022198642571721,Energy & transport,Values
32247,32248,0.30228868717449014,Energy & transport,Energy & transport
32229,32268,0.3028282758227117,Immigration & integration,Security & military
32266,32272,0.3030596554513122,Security & military,Foreign trade & foreign policy
32274,32279,0.3038937916690472,Values,Values
32283,32288,0.3069200154091692,Federal budget,Federal budget
32253,32283,0.30838952368718253,Nature conservation,Federal budget
32282,32288,0.30928483670272844,Federal budget,Federal budget
32263,32288,0.3092856075723402,"Democracy, Media & Digitalization",Federal budget
32215,32281,0.31216565365957066,Welfare state & family,Federal budget
32245,32285,0.31253623752297055,Energy & transport,Federal budget
32248,32253,0.3146187482355955,Energy & transport,Nature conservation
32242,32248,0.31521457387760304,Economy & labour,Energy & transport
32270,32271,0.3156070741907346,Foreign trade & foreign policy,Foreign trade & foreign policy
32220,32223,0.3163173220903252,Health,Health
32246,32271,0.31672953349699046,Energy & transport,Foreign trade & foreign policy
32226,32227,0.31796146168896755,Education,Education
32216,32238,0.318562635817264,Welfare state & family,Finances & taxes
32229,32270,0.3191539000571541,Immigration & integration,Foreign trade & foreign policy
32253,32280,0.3206974600548313,Nature conservation,Values
32263,32281,0.3212100224538149,"Democracy, Media & Digitalization",Federal budget
32255,32280,0.32191568506380686,Nature conservation,Values
32265,32273,0.32214057114387856,Security & military,Foreign trade & foreign policy
