model,clone_type,baseline_jaccard,baseline_spearman,baseline_kendall,optimal_alpha,peak_jaccard,peak_spearman,peak_kendall,jaccard_at_0.6,improvement,plateau_start,plateau_end,plateau_width
E5,Identical,0.5403940664453853,0.8486151316171331,0.7291240428220639,0.4,0.9918923858895562,0.9999712249292584,0.9988179694273144,0.9871656393302396,0.45149831944417085,0.01,0.7,0.69
E5,Easy Para.,0.5403940664453853,0.8486151316171331,0.7291240428220639,0.5,0.6056879232055149,0.9218069128473128,0.8132185447903246,0.5910754127717532,0.06529385676012955,0.4,0.9,0.5
E5,Hard Para.,0.5403940664453853,0.8486151316171331,0.7291240428220639,0.5,0.591664714873991,0.9107124564869896,0.7987456306454391,0.5828477729968331,0.051270648428605625,0.4,1.2,0.7999999999999999
E5,Negation,0.5403940664453853,0.8486151316171331,0.7291240428220639,0.5,0.6346601404807964,0.9421772617142374,0.8421579336968925,0.6148418326975451,0.0942660740354111,0.4,0.7,0.29999999999999993
E5,Neg + Easy,0.5403940664453853,0.8486151316171331,0.7291240428220639,0.5,0.6039516955894215,0.920142387213889,0.8109542608619557,0.589404702576454,0.06355762914403618,0.4,0.9,0.5
E5,Neg + Hard,0.5403940664453853,0.8486151316171331,0.7291240428220639,0.5,0.5881789660829786,0.907106153362394,0.794195399538091,0.5805588694244987,0.04778489963759325,0.4,1.3,0.9
E5,Mixed,0.627018214141275,0.934072538743575,0.8307407756584035,0.5,0.697352011585082,0.9698207145081478,0.8894664314860138,0.6814674826471072,0.07033379744380697,0.4,1.0,0.6
E5-Instruct,Identical,0.5403940664453853,0.8486151316171331,0.7291240428220639,0.5,0.9999689266804196,0.9999999523250056,0.9999971577394016,0.8486569324864481,0.45957486023503424,0.01,0.5,0.49
E5-Instruct,Easy Para.,0.5403940664453853,0.8486151316171331,0.7291240428220639,0.3,0.6874546227112325,0.9649874367400963,0.8803569175536179,0.6409780690121674,0.14706055626584713,0.3,0.4,0.10000000000000003
E5-Instruct,Hard Para.,0.5403940664453853,0.8486151316171331,0.7291240428220639,0.4,0.6824478208461368,0.9628329215140584,0.8762631456738017,0.6431662598264837,0.1420537544007514,0.3,0.5,0.2
E5-Instruct,Negation,0.5403940664453853,0.8486151316171331,0.7291240428220639,0.4,0.6888233797558105,0.9652683568936458,0.8809737209630196,0.6463006308799529,0.1484293133104252,0.3,0.5,0.2
E5-Instruct,Neg + Easy,0.5403940664453853,0.8486151316171331,0.7291240428220639,0.4,0.6876169719885543,0.9648304522189588,0.8801568726771625,0.6477541029285221,0.14722290554316897,0.3,0.5,0.2
E5-Instruct,Neg + Hard,0.5403940664453853,0.8486151316171331,0.7291240428220639,0.4,0.6738759743754671,0.9591169413269144,0.8696962001414122,0.6372216786072731,0.13348190793008174,0.3,0.5,0.2
E5-Instruct,Mixed,0.627018214141275,0.934072538743575,0.8307407756584035,0.3,0.7691701116008084,0.9860098476804168,0.9273201949622952,0.7243415335307131,0.14215189745953338,0.3,0.5,0.2
Jina v3,Identical,0.5403940664453853,0.8486151316171331,0.7291240428220639,0.5,0.9978401517695404,0.999991802222302,0.9996908475180444,0.9943610826963254,0.4574460853241551,0.01,0.9,0.89
Jina v3,Easy Para.,0.5403940664453853,0.8486151316171331,0.7291240428220639,0.6,0.66275129450391,0.9544097586135908,0.8617481078507413,0.66275129450391,0.12235722805852467,0.5,0.8,0.30000000000000004
Jina v3,Hard Para.,0.5403940664453853,0.8486151316171331,0.7291240428220639,0.6,0.6479554382776053,0.947062186803076,0.8498317677189423,0.6479554382776053,0.10756137183221992,0.5,1.0,0.5
Jina v3,Negation,0.5403940664453853,0.8486151316171331,0.7291240428220639,0.6,0.6894350046768011,0.9658261242078958,0.8818981471604704,0.6894350046768011,0.14904093823141573,0.5,0.8,0.30000000000000004
Jina v3,Neg + Easy,0.5403940664453853,0.8486151316171331,0.7291240428220639,0.7,0.6744813472167503,0.9601416299418536,0.8716721222448252,0.6729146831115532,0.134087280771365,0.5,0.9,0.4
Jina v3,Neg + Hard,0.5403940664453853,0.8486151316171331,0.7291240428220639,0.6,0.6571818970220696,0.951762808907742,0.8573840242072867,0.6571818970220696,0.11678783057668429,0.5,0.9,0.4
Jina v3,Mixed,0.627018214141275,0.934072538743575,0.8307407756584035,0.6,0.7746339420973332,0.986929265544784,0.9298804831034128,0.7746339420973332,0.14761572795605815,0.5,0.9,0.4
Qwen3,Identical,0.5403940664453853,0.8486151316171331,0.7291240428220639,0.6,0.9993988033069148,0.999997471502574,0.9999239742491502,0.9993988033069148,0.4590047368615294,0.01,1.0,0.99
Qwen3,Easy Para.,0.5403940664453853,0.8486151316171331,0.7291240428220639,0.6,0.668972652602029,0.9567819031808138,0.8658246014148834,0.668972652602029,0.12857858615664364,0.5,0.8,0.30000000000000004
Qwen3,Hard Para.,0.5403940664453853,0.8486151316171331,0.7291240428220639,0.6,0.6391898567952413,0.9410299245899416,0.8404210039364154,0.6391898567952413,0.09879579034985597,0.5,1.1,0.6000000000000001
Qwen3,Negation,0.5403940664453853,0.8486151316171331,0.7291240428220639,0.6,0.7151924784845077,0.9736653903788623,0.8975149205142735,0.7151924784845077,0.17479841203912239,0.5,0.8,0.30000000000000004
Qwen3,Neg + Easy,0.5403940664453853,0.8486151316171331,0.7291240428220639,0.6,0.6691470821343991,0.956885194857837,0.8658480142097826,0.6691470821343991,0.12875301568901376,0.5,0.8,0.30000000000000004
Qwen3,Neg + Hard,0.5403940664453853,0.8486151316171331,0.7291240428220639,0.7,0.6475788353828388,0.9463175759076398,0.848422029155208,0.6468033921601903,0.10718476893745343,0.5,1.1,0.6000000000000001
Qwen3,Mixed,0.627018214141275,0.934072538743575,0.8307407756584035,0.6,0.7714832126799029,0.9861927356565694,0.9278861369570244,0.7714832126799029,0.14446499853862793,0.5,0.8,0.30000000000000004
