alpha,crw_jaccard_mean,crw_jaccard_median,crw_jaccard_p10,crw_spearman_mean,crw_kendall_mean
0.01,0.4411658363273562,0.4117647058823529,0.2631578947368421,0.8974793742149725,0.7663788949157795
0.1,0.4411658363273562,0.4117647058823529,0.2631578947368421,0.8974793742149725,0.7663788949157795
0.2,0.4411658363273562,0.4117647058823529,0.2631578947368421,0.8974793742149725,0.7663788949157795
0.3,0.4411658363273562,0.4117647058823529,0.2631578947368421,0.8974793742149725,0.7663788949157795
0.4,0.4411658363273562,0.4117647058823529,0.2631578947368421,0.8974793742149725,0.7663788949157795
0.5,0.4423357144107413,0.4117647058823529,0.2631578947368421,0.8979324649528934,0.7668754914524054
0.6,0.4439836275494251,0.4117647058823529,0.2631578947368421,0.8982229057785109,0.7673217104812076
0.7,0.4475813287297152,0.4117647058823529,0.2631578947368421,0.9000089092897868,0.7696711389588166
0.8,0.453299709213425,0.4117647058823529,0.2857142857142857,0.903703912020517,0.7740982356976506
0.9,0.4595258644004366,0.44,0.2857142857142857,0.906915590154494,0.7783042951163244
1.0,0.467374826676791,0.44,0.2857142857142857,0.9100351356893496,0.7826869587494748
1.1,0.470890320024155,0.44,0.2857142857142857,0.911584755082936,0.7849394963859918
1.2,0.4686913069706042,0.44,0.2857142857142857,0.9105968564676415,0.7835983825487194
1.3,0.4665319122799194,0.44,0.2857142857142857,0.9096159943873868,0.7822603686744549
1.4,0.4664079189645094,0.44,0.2857142857142857,0.9097410306082652,0.7821558615879776
1.5,0.4723742725088566,0.44,0.2857142857142857,0.9122176811630924,0.7856326280901424
1.8,0.4668954029237145,0.44,0.2857142857142857,0.909784762477454,0.7823463328063132
2.1,0.4630684743198957,0.44,0.2857142857142857,0.908041633931255,0.7800149661904143
2.4,0.4602997213176302,0.44,0.2857142857142857,0.906732525869643,0.7782772938221842
2.7,0.4580379322900392,0.44,0.2857142857142857,0.9057153637457254,0.7769322239488429
3.0,0.4563775260122696,0.44,0.2857142857142857,0.9049002284148336,0.7758701609732899
