alpha,crw_jaccard_mean,crw_jaccard_median,crw_jaccard_p10,crw_spearman_mean,crw_kendall_mean
0.01,0.4523991231532311,0.4117647058823529,0.2631578947368421,0.9046678675160444,0.7762709791734831
0.1,0.4523991231532311,0.4117647058823529,0.2631578947368421,0.9046678675160444,0.7762709791734831
0.2,0.4533526977163465,0.4117647058823529,0.2857142857142857,0.9050089094321052,0.776695216613405
0.3,0.4652073501138282,0.44,0.2857142857142857,0.9093703888956716,0.7825492179463777
0.4,0.495363741331015,0.4693877551020408,0.3090909090909091,0.9212756835389618,0.799838523960828
0.5,0.5243654457074528,0.5,0.3333333333333333,0.9346317442257228,0.8185786273679581
0.6,0.5118353481585584,0.5,0.3333333333333333,0.9304844723200224,0.8120251681406238
0.7,0.5023829645114489,0.4693877551020408,0.3090909090909091,0.9270624207743944,0.8074778910345102
0.8,0.495609845298239,0.4693877551020408,0.3090909090909091,0.9243662080614012,0.8034542668579163
0.9,0.490299695034978,0.4693877551020408,0.3090909090909091,0.922240189610557,0.8003390473048595
1.0,0.4861722215867602,0.4693877551020408,0.3090909090909091,0.9205249152598186,0.7978588985312818
1.1,0.4829055401117186,0.44,0.3090909090909091,0.9191121777743968,0.7958467638384189
1.2,0.480139714071649,0.44,0.3090909090909091,0.9179272778858716,0.7941814729876381
1.3,0.4778360483702523,0.44,0.3090909090909091,0.9169197089138984,0.7927743221591215
1.4,0.4758686267780201,0.44,0.2857142857142857,0.916051821387012,0.7915676402042262
1.5,0.4740977307054934,0.44,0.2857142857142857,0.9152972967213028,0.7905219846754091
1.8,0.4702758314648043,0.44,0.2857142857142857,0.9135335881879753,0.7880812378649521
2.1,0.4674543335063734,0.44,0.2857142857142857,0.9122681723076344,0.7863465121454045
2.4,0.4654406564303472,0.44,0.2857142857142857,0.9113090640363496,0.7850455964346319
2.7,0.4638483525234334,0.44,0.2857142857142857,0.9105575865873056,0.7840325111680813
3.0,0.4626691963283844,0.44,0.2857142857142857,0.909958110997236,0.7832206355674598
