model,avg_max_jaccard,avg_max_spearman,avg_max_kendall,avg_composite_rank,rank
E5-Instruct,0.6474167432566192,0.9677849970475028,0.8786791988021821,1.0,1
Jina v3,0.6494416764115948,0.9694012073307978,0.8811524705795544,2.0,2
Qwen3,0.625186005979908,0.963250501988291,0.8690547496463542,3.0,3
GTE,0.6041175507961639,0.9580436149012383,0.8591330003224072,3.6666666666666665,4
SBERT,0.5922326965852697,0.9566842811460061,0.8558256677533831,4.666666666666667,5
BGE-M3,0.5949432914884177,0.954594925473713,0.8529380494129547,5.555555555555556,6
Nomic v2,0.5886958624095813,0.9540519731633768,0.8512444655033153,7.0,7
E5,0.5570442550597478,0.9452012103129764,0.8354606786432094,7.111111111111111,8
E5-Asym,0.539736113195909,0.9387349103370662,0.8258610910073428,8.333333333333334,9
E5-Asym-Instruct,0.4947129139286969,0.9233039012185834,0.8011270692751643,10.0,10
