model,avg_max_jaccard,avg_max_spearman,avg_max_kendall,avg_composite_rank,rank
E5-Instruct,0.631329001462,0.9650954805090503,0.872402313473748,1.4444444444444444,1
Jina v3,0.6280714429062279,0.9650685397467798,0.8716701972075255,1.6666666666666667,2
Qwen3,0.6216466038105486,0.9619037361181787,0.8667212826514318,2.888888888888889,3
GTE,0.5872982885334211,0.9539976991079134,0.850867175061072,4.666666666666667,4
SBERT,0.5960654822079545,0.9564753359715922,0.8559502630104405,4.666666666666667,5
BGE-M3,0.5791435829611172,0.9505006908034929,0.8447008220388126,5.888888888888889,6
Nomic v2,0.5683849652087754,0.9482112670884328,0.840399090275433,7.0,7
E5,0.5472236188416154,0.941828553602322,0.8290913311911,7.777777777777778,8
E5-Asym,0.5245769297986881,0.9336679494869634,0.8169359155992449,9.0,9
E5-Asym-Instruct,0.48628455504658,0.9178715168811524,0.793125759954367,10.0,10
