model,avg_max_jaccard,avg_max_spearman,avg_max_kendall,avg_composite_rank,rank
E5-Instruct,0.5800989630622211,0.9507140979932424,0.8462809985826404,1.5555555555555554,1
Jina v3,0.5761322569838039,0.9498255684989676,0.8446223992198497,1.8333333333333333,2
Qwen3,0.5718217785277605,0.9471466020092084,0.8406824626222879,2.944444444444444,3
GTE,0.5469986422291108,0.9407681691797576,0.8293150378053421,4.333333333333333,4
BGE-M3,0.5408624696009278,0.9376919454473366,0.8244063997878405,5.611111111111112,5
SBERT,0.5481693201877839,0.9403754631459021,0.8295526981260676,5.666666666666667,6
Nomic v2,0.5308132587649529,0.9351011457166537,0.819869328674448,7.166666666666667,7
E5,0.517642304213329,0.9309073951806203,0.8128248262809165,7.333333333333333,8
E5-Asym,0.4986551469599545,0.9242245837890501,0.8026429845598302,9.222222222222223,9
E5-Asym-Instruct,0.4833110604170874,0.9164586033375818,0.7912054530687174,9.333333333333334,10
