target_party,party,original,original_crw,worst_case,worst_case_crw,realistic,realistic_crw
Centre,SP,0.1320314625442013,0.1321054779394033,0.1085319079701958,0.1145731645515612,0.1235710361088403,0.1275085217725225
Centre,Green,0.1353834930998901,0.1347600300862486,0.1115271976571182,0.1177804983436556,0.1274458420684789,0.1305271496471197
Centre,GLP,0.1619603544203661,0.1610321613562088,0.1486155787070294,0.1509660676087194,0.1556823819354257,0.1562098249769115
Centre,Centre,0.1745269682760579,0.1757205498743627,0.2221162001696141,0.2117693813646399,0.1927880999247704,0.1859060017816908
Centre,FDP,0.0432396605160585,0.0432129883015713,0.045180730925371,0.0448893369820976,0.0442011938483253,0.0437737716111666
Centre,SVP,0.0466470359168066,0.0468524119683587,0.0498156949978961,0.0490888771531177,0.0478919615280007,0.0477272606035416
SP,SP,0.1320314625442013,0.1321054779394033,0.1773735603672076,0.1651276798907361,0.1496777996489805,0.1396597158875607
SP,Green,0.1353834930998901,0.1347600300862486,0.1296789732264284,0.1314146675841851,0.1330856818218128,0.1336011223667783
SP,GLP,0.1619603544203661,0.1610321613562088,0.1434631736734459,0.1462290823157757,0.1528271213745634,0.157214033852356
SP,Centre,0.1745269682760579,0.1757205498743627,0.1625644800785202,0.166197902497047,0.1702567467366454,0.1742855847349482
SP,FDP,0.0432396605160585,0.0432129883015713,0.0381619376830412,0.0396822539088163,0.0418693754967741,0.0428109046681753
SP,SVP,0.0466470359168066,0.0468524119683587,0.0440725004134233,0.0450653735977119,0.0456041523303546,0.046350974335998
Green,SP,0.1320314625442013,0.1321054779394033,0.1438912627159686,0.1398557566640429,0.1350874315190806,0.1338985175583104
Green,Green,0.1353834930998901,0.1347600300862486,0.1573553965891412,0.152582403806643,0.1453002224462572,0.138665509092547
Green,GLP,0.1619603544203661,0.1610321613562088,0.1456843023348749,0.1482161622950757,0.1541874043134132,0.1570580013976049
Green,Centre,0.1745269682760579,0.1757205498743627,0.1600012802662906,0.163603362832794,0.1687390977323206,0.1735094232933676
Green,FDP,0.0432396605160585,0.0432129883015713,0.0374164492881217,0.039058124089814,0.041653330559427,0.042608195838072
Green,SVP,0.0466470359168066,0.0468524119683587,0.0429182603314859,0.0446839609305437,0.0453434314337414,0.0463383050341167
GLP,SP,0.1320314625442013,0.1321054779394033,0.1180125466096945,0.1204470529870193,0.1257521564485364,0.1300950597724254
GLP,Green,0.1353834930998901,0.1347600300862486,0.1417601527784309,0.1404632163489866,0.1385374824630075,0.1363970372504054
GLP,GLP,0.1619603544203661,0.1610321613562088,0.2035936808189088,0.1917138764862794,0.1794099839433006,0.1673941513167851
GLP,Centre,0.1745269682760579,0.1757205498743627,0.1668727095235754,0.1688497874224422,0.170839534623194,0.1737828134918635
GLP,FDP,0.0432396605160585,0.0432129883015713,0.0449066739215131,0.0447286368898108,0.0444865865433389,0.0439158011533112
GLP,SVP,0.0466470359168066,0.0468524119683587,0.0483953995764485,0.0480373250969567,0.0474858770624319,0.0471531411867031
FDP,SP,0.1320314625442013,0.1321054779394033,0.1197415729138314,0.1233909986610495,0.1278392572321644,0.1304804732717658
FDP,Green,0.1353834930998901,0.1347600300862486,0.1299343596801419,0.1323235232928386,0.1347726993881307,0.1348373795082628
FDP,GLP,0.1619603544203661,0.1610321613562088,0.1536906343185959,0.1541760686222626,0.1572627106437963,0.1592044478584693
FDP,Centre,0.1745269682760579,0.1757205498743627,0.1657298051327982,0.1676842116493503,0.1700867113692906,0.1737268018414399
FDP,FDP,0.0432396605160585,0.0432129883015713,0.0576493243928148,0.0537305092792702,0.0490295314758856,0.0453154256085315
FDP,SVP,0.0466470359168066,0.0468524119683587,0.0537598487152041,0.0519428041032574,0.0495029632830327,0.0479052976352444
SVP,SP,0.1320314625442013,0.1321054779394033,0.1303051034615152,0.1312973098404391,0.1316693872325367,0.1318874325859698
SVP,Green,0.1353834930998901,0.1347600300862486,0.129071513541475,0.131097268231784,0.1345726577794744,0.1346213345709148
SVP,GLP,0.1619603544203661,0.1610321613562088,0.1642875051343816,0.161869002085747,0.1626444967219633,0.161143517851694
SVP,Centre,0.1745269682760579,0.1757205498743627,0.1661098841892368,0.1677088834477495,0.1704994638884786,0.1739321778929909
SVP,FDP,0.0432396605160585,0.0432129883015713,0.0559763097390986,0.0510032753479449,0.0476499111815309,0.0444225732285696
SVP,SVP,0.0466470359168066,0.0468524119683587,0.0603152122308149,0.0568911666960099,0.0513580158006231,0.0486394503390066
