metric,value
n_questions,75.0
n_improved,75.0
pct_improved,100.0
base_jaccard_mean,0.7879620595355552
base_jaccard_median,0.7882986791819848
crw_jaccard_mean,0.8877427196658749
crw_jaccard_median,0.8875988330979443
improvement_mean,0.09978066013031965
improvement_median,0.09563273945392492
improvement_min,0.037265022751484356
improvement_max,0.18024796110885022
improvement_std,0.03779168723252022
optimal_alpha_mean,0.3493333333333332
optimal_alpha_median,0.3
optimal_alpha_mode,0.3
alpha_95_width_mean,0.7812
alpha_95_width_median,0.39999999999999997
most_correctable_qid,32252.0
most_correctable_improvement,0.18024796110885022
least_correctable_qid,32286.0
least_correctable_improvement,0.037265022751484356
base_spearman_mean,0.9733991708819889
crw_spearman_mean,0.9952502670670299
base_kendall_mean,0.919039822956996
crw_kendall_mean,0.9679942656455658
