target_party,cloned_questions,party,original,original_crw,crw_drift,worst_case,worst_case_crw,delta_attack_worst,delta_crw_worst,reduction_worst,realistic,realistic_crw,delta_attack_realistic,delta_crw_realistic,reduction_realistic
SP,32220;32248;32240;32217;32270,SP,0.1320314625442013,0.1314306709128759,-0.000600791631325398,0.1773735603672076,0.1677402232997647,0.0453420978230063,0.036309552386888794,19.92088118943286,0.1496777996489805,0.1421282293383573,0.017646337104779197,0.010697558425481396,39.37802297461408
SP,32220;32248;32240;32217;32270,Green,0.1353834930998901,0.1350700945796633,-0.0003133985202267986,0.1296789732264284,0.1306591771088333,-0.005704519873461683,-0.00441091747083,22.676797194619713,0.1330856818218128,0.1328436314753391,-0.002297811278077294,-0.0022264631043242,3.1050493325454953
SP,32220;32248;32240;32217;32270,GLP,0.1619603544203661,0.1613142200244119,-0.0006461343959542065,0.1434631736734459,0.1455629437589558,-0.018497180746920194,-0.01575127626545611,14.84498918529128,0.1528271213745634,0.1566619190124685,-0.009133233045802713,-0.004652301011943388,49.06183835874626
SP,32220;32248;32240;32217;32270,Centre,0.1745269682760579,0.1748210294407795,0.0002940611647216096,0.1625644800785202,0.1650416619990245,-0.011962488197537702,-0.009779367441755005,18.249721293201027,0.1702567467366454,0.1727445975429466,-0.004270221539412505,-0.002076431897832909,51.37414116180532
SP,32220;32248;32240;32217;32270,FDP,0.0432396605160585,0.043153642624337,-8.601789172150293e-05,0.0381619376830412,0.0394228666229275,-0.005077722833017301,-0.0037307760014094957,26.526592252130033,0.0418693754967741,0.042783565648326,-0.0013702850192843993,-0.00037007697601099815,72.99270072993555
SP,32220;32248;32240;32217;32270,SVP,0.0466470359168066,0.0470737913486033,0.00042675543179670344,0.0440725004134233,0.0449206768341184,-0.002574535503383296,-0.0021531145144849037,16.368816368800776,0.0456041523303546,0.046350974335998,-0.0010428835864519995,-0.0007228170126052993,30.690537084354787
Green,32217;32240;32251;32221;32266,SP,0.1320314625442013,0.1314306709128759,-0.000600791631325398,0.1438912627159686,0.1402825120958395,0.011859800171767299,0.008851841182963588,25.362644776800458,0.1350874315190806,0.1331656984652725,0.0030559689748792807,0.001735027552396573,43.22496181542185
Green,32217;32240;32251;32221;32266,Green,0.1353834930998901,0.1350700945796633,-0.0003133985202267986,0.1573553965891412,0.1540780482340166,0.0219719034892511,0.019007953654353316,13.489727170646738,0.1453002224462572,0.1406172483876532,0.009916729346367115,0.005547153807989896,44.06266810113119
Green,32217;32240;32251;32221;32266,GLP,0.1619603544203661,0.1613142200244119,-0.0006461343959542065,0.1456843023348749,0.1471946164802139,-0.01627605208549121,-0.014119603544198,13.249211356453639,0.1541874043134132,0.1570059905793542,-0.007772950106952892,-0.00430822944505771,44.57407566267529
Green,32217;32240;32251;32221;32266,Centre,0.1745269682760579,0.1748210294407795,0.0002940611647216096,0.1600012802662906,0.1622457471153938,-0.014525688009767307,-0.012575282325385712,13.427286081527502,0.1687390977323206,0.1714023183488732,-0.005787870543737306,-0.003418711091906307,40.9331797234912
