target_party,observed_party,mini_baseline,aug_baseline,delta_attack,crw_drift_E5-INSTRUCT_α0.3,delta_crw_E5-INSTRUCT_α0.3,reduction_E5-INSTRUCT_α0.3,crw_drift_E5-INSTRUCT_α0.4,delta_crw_E5-INSTRUCT_α0.4,reduction_E5-INSTRUCT_α0.4,crw_drift_ANSWER-CORR_α1.0,delta_crw_ANSWER-CORR_α1.0,reduction_ANSWER-CORR_α1.0,crw_drift_ANSWER-CORR_α1.1,delta_crw_ANSWER-CORR_α1.1,reduction_ANSWER-CORR_α1.1,crw_drift_ANSWER-CORR_α1.5,delta_crw_ANSWER-CORR_α1.5,reduction_ANSWER-CORR_α1.5,crw_drift_QWEN3_α0.6,delta_crw_QWEN3_α0.6,reduction_QWEN3_α0.6
SP,SP,0.1250273390198449,0.1612288689380561,0.03620152991821121,-0.001619003419376694,0.03755314438735331,-3.733583835257104,-0.00118824715540769,0.03698502621877431,-2.164262953342644,-0.0007508228378161896,0.0367983207173633,-1.6485236963752703,-0.0010235462309484966,0.03629888350108962,-0.2689211839896011,0.0006641381407334057,0.0360808381476565,0.3333885911103285,-0.0021897888094041945,0.03655893759234051,-0.9872722919080479
SP,Green,0.1261515728604857,0.1274031665253,0.00125159366481431,0.0004114189084651887,0.0005927899669791181,52.63718700053774,-0.0004260886264352004,0.0015423208027258994,-23.22855620675601,0.0002600540912509053,0.0009708686073356954,22.429408630816607,0.0005047716591707885,0.0008721814137336026,30.31433137982511,-0.0005201081825020881,0.0012102517323592799,3.3031433137817756,-0.00016670134054588837,0.0015969988424252013,-27.597229621814723
SP,GLP,0.1451068488912262,0.1560924672331675,0.010985618341941311,-0.0008228378169325978,0.010566197769129121,3.817905918057529,-0.0002807250574786979,0.010184785101961108,7.2898330804261775,0.00017803703170241048,0.010735566331123603,2.2761760242757556,0.00017136897808081586,0.01133635796244939,-3.192716236727522,-0.00024938520545589316,0.011637753986156102,-5.93626707133128,9.535316679210037e-05,0.010534857917106927,4.103186646430768
SP,Centre,0.1809242989208312,0.1628512063842556,-0.018073092536575602,0.0007774950523037893,-0.017999743946735397,0.405844155845303,0.0006581368924735986,-0.018263132064797793,-1.0515053128710372,-0.00010468844186201087,-0.017797701921995396,1.5237603305736536,-0.00012802662953900756,-0.017803036364892194,1.494244391970434,0.00015469884402630196,-0.017736355828674805,1.8631936245516512,0.0003454051776095868,-0.017992409087752098,0.4464285714258387
SP,FDP,0.0442098623180326,0.0468817514042961,0.0026718890862635,-0.0002080432730007034,0.0025905388320774034,3.044671824303191,-7.868303273740607e-05,0.002341153626621205,12.378337908659665,-4.800998607699947e-05,0.002477848725868495,7.26229099076715,-0.00011135649548429938,0.002455177343554299,8.11080608934487,-0.000101354415051505,0.002333151962274904,12.677813825809004,-0.0003727441974597026,0.002449842900656897,8.310456700772828
SP,SVP,0.0487107985127603,0.0493629341569746,0.0006521356442142981,0.00014736398504230225,0.0006534692549386018,-0.20449897749577062,5.5344845061103265e-05,0.0009361947285038974,-43.558282208579094,0.00036140850630279886,0.0004047508548447043,37.934560327191804,0.0004894351358417023,0.000361408506302896,44.580777096101556,0.0003414043454373003,0.0004080848816555016,37.423312883446535,0.0004754322232360039,0.0007814958844775954,-19.83640081798508
Green,SP,0.1250273390198449,0.1165282378734775,-0.008499101146367385,-0.001619003419376694,-0.00773827622811879,8.951828024470343,-0.00118824715540769,-0.007955654776189203,6.394162874628906,-0.0007508228378161896,-0.008323731336114401,2.063392436833622,-0.0010235462309484966,-0.008660468044016198,-1.8986348658502905,0.0006641381407334057,-0.009689348717862298,-14.00439353523446,-0.0021897888094041945,-0.008289724262643003,2.463517966413098
Green,Green,0.1261515728604857,0.1602806717130308,0.03412909885254509,0.0004114189084651887,0.033866377539845616,0.7697868432874788,-0.0004260886264352004,0.03487125322065321,-2.1745501436021053,0.0002600540912509053,0.03412776524182079,0.0039075474276617506,0.0005047716591707885,0.033951061820843315,0.5216575816167413,-0.0005201081825020881,0.03451584596261059,-1.1331887540788843,-0.00016670134054588837,0.03476189714125569,-1.8541312545186317
Green,GLP,0.1451068488912262,0.144933479497059,-0.00017336939416717767,-0.0008228378169325978,-0.000481433471494791,-177.69230769218208,-0.0002807250574786979,-0.0007181493750699763,-314.2307692310876,0.00017803703170241048,-0.0003347362918147967,-93.07692307675437,0.00017136897808081586,0.00019404036039510908,-11.92307692325365,-0.00024938520545589316,0.0005421127594550101,-212.69230769316664,9.535316679210037e-05,-0.0007101477107232801,-309.6153846154037
Green,Centre,0.1809242989208312,0.1575527709763576,-0.023371527944473613,0.0007774950523037893,-0.02346954833271489,-0.41940085592244714,0.0006581368924735986,-0.024012327897531605,-2.7417974322449634,-0.00010468844186201087,-0.023058796229611794,1.3380884450721942,-0.00012802662953900756,-0.023003451384550094,1.574893009982059,0.00015469884402630196,-0.022782072004306292,2.522111269608729,0.0003454051776095868,-0.023294845327824387,0.328102710406486
