topic,n_questions,n_pairs,mean,median,std,min,max,q25,q75
Immigration & integration,4,6,1.0977462273928358,1.0975523720569225,0.10548322927977986,0.9254101854447995,1.237768129849725,1.0674152020480292,1.1525067126919168
Nature conservation,6,15,1.2288737401366503,1.2409752135380732,0.10334530297503759,1.0519345902324626,1.385266061687112,1.1568157816873015,1.2972695540375838
Society & ethics,4,6,1.2683703607129628,1.2675653320962,0.07294754579939185,1.1548624445416533,1.3815355017069575,1.2524672523759306,1.2853355790497445
Foreign trade & foreign policy,5,10,1.3068948551062824,1.3285628284228168,0.18676302170971454,1.0447168164922898,1.5464881136834896,1.1573024670453507,1.456515308042266
Federal budget,8,28,1.3093948800314703,1.280308400859973,0.15837138638319603,1.0165080349594742,1.5531568813282628,1.1963689371978163,1.464112447905143
Values,7,21,1.3208829804652564,1.322100095773925,0.1584327222754999,1.043861704210305,1.543662494983225,1.2089167358035229,1.4613137977164874
Economy & labour,5,10,1.3221807521928146,1.3725305899972633,0.12196521697984843,1.0888245512211763,1.453088110994306,1.2332172532110741,1.4070985329274035
Welfare state & family,6,15,1.3301131558564456,1.3347031447267657,0.16819061717320893,1.0203235342417336,1.5407360917493882,1.2019902879105526,1.4742837903645571
Energy & transport,7,21,1.3530354286859887,1.4146826802175103,0.1583393451754941,1.0416350944151291,1.5601806698290726,1.2553286676145397,1.4677874549423915
Security & military,5,10,1.3759156790153633,1.4192149038237338,0.15077837241978823,0.9998118571227994,1.5091492400907314,1.3602580650573182,1.4688147217117105
Education,3,3,1.377445471281544,1.4109940784254222,0.07005281745188202,1.2969274193731917,1.4244149160460184,1.3539607488993068,1.4177044972357202
"Democracy, Media & Digitalization",6,15,1.41400951896217,1.4070142135557027,0.09260136726620444,1.2677701676580444,1.548698129028969,1.3285445389149735,1.486859824191891
Finances & taxes,4,6,1.4289362835298258,1.460368404993829,0.11503458703353273,1.288522470836928,1.5390150604261017,1.3256952646936295,1.5234964577494856
Health,5,10,1.4569911771214656,1.4409496282483658,0.07728155673548749,1.32740860870666,1.5637266994316532,1.4065931558791798,1.5254018591295249
