topic_a,topic_b,n_pairs,mean,median,std,min,max
Foreign trade & foreign policy,Immigration & integration,20,0.3806446745856767,0.3927079192156011,0.04967545464783432,0.26246990757979993,0.4496871496521285
Foreign trade & foreign policy,Security & military,25,0.38261137232789144,0.3888336305111631,0.06986117220253234,0.22821050635248097,0.4840100051460527
Finances & taxes,Welfare state & family,24,0.4015185458639137,0.4126024027226306,0.04004728772711271,0.318562635817264,0.4736411182422515
Immigration & integration,Security & military,20,0.4111270849386782,0.42779595824867606,0.045574768895364444,0.3028282758227117,0.47750323888668844
Health,Welfare state & family,30,0.41821905103124984,0.4326563892328769,0.06027814710937955,0.17995731165458195,0.4874725969877957
Federal budget,Welfare state & family,48,0.4204210437390999,0.42662495850460525,0.03770335014035386,0.31216565365957066,0.47246389967647007
"Democracy, Media & Digitalization",Federal budget,48,0.42142568624505605,0.42460868052825534,0.044371986391897676,0.3092856075723402,0.49012955840680317
"Democracy, Media & Digitalization",Finances & taxes,24,0.42201918317802994,0.412164013520406,0.05637768785563428,0.29910783828621973,0.5133203964750045
"Democracy, Media & Digitalization",Foreign trade & foreign policy,30,0.4234003532788297,0.43026391702473776,0.034437651988376956,0.3621350325596045,0.4752340091702033
Education,Immigration & integration,12,0.4234616176196802,0.4154916074932345,0.03188371076404249,0.37030443271267727,0.46868896086958955
Economy & labour,Welfare state & family,30,0.4237738932218449,0.43362205609501303,0.04573285424804885,0.27828240387391934,0.495632407673032
Finances & taxes,Foreign trade & foreign policy,20,0.4249597282176353,0.44233097336312843,0.03777789656302251,0.3703496600471256,0.47210812904487665
Energy & transport,Foreign trade & foreign policy,35,0.42725483094802585,0.43879412937218815,0.0468859188357642,0.31672953349699046,0.4943446767118167
Finances & taxes,Health,20,0.4279657491115495,0.4309396733528714,0.034367720049579095,0.373379065119526,0.4980654245549936
Education,Federal budget,24,0.428750609982355,0.4286357788121083,0.0430034962487388,0.327708388561156,0.4879889261677748
Federal budget,Finances & taxes,32,0.4291061553617192,0.44031850158023683,0.035384813628802775,0.3458134534399698,0.4806513245594786
Economy & labour,Finances & taxes,20,0.42913068426899514,0.44032104621500034,0.04405441428796291,0.33541972156973704,0.4829180555787189
Finances & taxes,Values,28,0.42972285438850155,0.44029374542526234,0.04281379641970692,0.3477842973789313,0.49526150798954843
Energy & transport,Nature conservation,42,0.4299576916665065,0.44365033317818714,0.04422254137637201,0.3146187482355955,0.49582069872404794
"Democracy, Media & Digitalization",Energy & transport,42,0.43058365288187456,0.43393734725242644,0.033440296758318104,0.3574071995791847,0.48513746240576433
Federal budget,Health,40,0.4306550222080883,0.43388814466852504,0.032609550011048934,0.3461667847049263,0.48299000757752614
"Democracy, Media & Digitalization",Health,30,0.4310315733899765,0.43437020145441896,0.037607179690842304,0.3594764897878651,0.5037694937670817
Values,Welfare state & family,42,0.43127230599269756,0.43214580247756745,0.03959689845971386,0.26098210301917923,0.5021102006405977
Energy & transport,Federal budget,56,0.4323286171600215,0.4444544884212448,0.036899907175758084,0.31253623752297055,0.48432048367762537
"Democracy, Media & Digitalization",Security & military,30,0.4328174929380721,0.43530457732912275,0.03692179235325886,0.3584160657491985,0.498325285043866
Immigration & integration,Welfare state & family,24,0.43376463106183155,0.4397501632482468,0.03621787147138618,0.33759872970432464,0.47887597042773045
"Democracy, Media & Digitalization",Education,18,0.4341555575962874,0.43498845499356753,0.039630108017811305,0.36127335416812123,0.5142941495037107
Economy & labour,Values,35,0.43418344823218497,0.4359427393663365,0.036593863948920016,0.3567132648141537,0.4999355036145693
Economy & labour,Energy & transport,35,0.43501941465604244,0.4442150580339647,0.058802976418532306,0.20187698788446565,0.5006995076373075
"Democracy, Media & Digitalization",Welfare state & family,36,0.43563773789636623,0.4365554393159923,0.04742853139326314,0.3330922844658866,0.5051205221202811
Economy & labour,Foreign trade & foreign policy,25,0.43605726533891326,0.43919819537106447,0.03479735150573386,0.34995240160306995,0.489227476721399
"Democracy, Media & Digitalization",Values,42,0.43609983256888174,0.4422116989331854,0.04290539393643665,0.33113551770646854,0.5033359109210441
"Democracy, Media & Digitalization",Economy & labour,30,0.4361661209860365,0.4393694159840357,0.0353587478888837,0.34948711282003336,0.4976668759443725
Foreign trade & foreign policy,Health,25,0.4369266087144626,0.4383737830196008,0.03819856926968051,0.36646947254270046,0.49453900227187986
Foreign trade & foreign policy,Values,35,0.43724057069054056,0.4421830894870313,0.03170417823153629,0.3673913268218587,0.4987304783110191
Education,Welfare state & family,18,0.43740128857470406,0.4316902973520328,0.022866314664505335,0.40370318917939363,0.47658601296375197
Federal budget,Values,56,0.43758828871437394,0.4370244825514377,0.03489886729864497,0.35781788384664104,0.509141444857799
"Democracy, Media & Digitalization",Immigration & integration,24,0.4376139787677766,0.4444725084352394,0.03428792345465199,0.3707924673872904,0.5009446756725904
Foreign trade & foreign policy,Nature conservation,30,0.43813670086621975,0.4490256746535401,0.0377297629622208,0.35293328811675,0.4836552101730898
Finances & taxes,Immigration & integration,16,0.43871282017137586,0.45573833175079703,0.043241098084596884,0.3511005333388191,0.4843149455588783
Energy & transport,Values,49,0.4393014335982916,0.4504512961053213,0.05020936281383983,0.2630719176183891,0.4997152471323571
Health,Society & ethics,20,0.43939679438690565,0.4500210460407908,0.03101387709016437,0.3729823191443357,0.47211393660595663
Education,Finances & taxes,12,0.4398152645574512,0.44067435695029294,0.024613665616753516,0.4025354021508434,0.48664153391247494
Education,Values,21,0.4404233603157546,0.4453344506994,0.025597163671167232,0.3841850431657549,0.48110039602646737
Education,Health,15,0.4406351110373397,0.43721598534428746,0.03351313724086392,0.3630765933208759,0.502280399486738
Education,Foreign trade & foreign policy,15,0.4420476686538128,0.43806203435959346,0.03966645936976346,0.3948885366855306,0.49666088457176777
Federal budget,Security & military,40,0.4422902685507507,0.45110788901145327,0.040858652676894994,0.32371555483887565,0.5014817217370222
Health,Immigration & integration,20,0.4426942125001297,0.44453424927314333,0.026973170930760067,0.3857576391288191,0.4831320288616888
Immigration & integration,Values,28,0.4436784665176822,0.44316718814957656,0.026640372451032925,0.3964129604422691,0.4884733508834596
Health,Security & military,25,0.444030198590845,0.44919659103805265,0.04355768815636716,0.3351633778060898,0.5082835433631473
Economy & labour,Immigration & integration,20,0.4444094882368727,0.4571370575510551,0.04944746814157448,0.2855593823408636,0.5087603599374552
Health,Values,35,0.445533742401825,0.448430572349922,0.024770084359899216,0.39392133345696656,0.49868518092640185
Nature conservation,Values,42,0.44564562518940454,0.45702809134844236,0.049648681177496,0.3206974600548313,0.5098177711445339
Immigration & integration,Society & ethics,16,0.4467117546598209,0.4447091193748029,0.028170284958908845,0.4048634857113913,0.5010850576961827
"Democracy, Media & Digitalization",Nature conservation,36,0.4480025601164347,0.4631818285436651,0.03841312894273714,0.323645395000952,0.5008473369060319
Federal budget,Foreign trade & foreign policy,40,0.4483654530592993,0.4547070281105604,0.026833342379726885,0.35262325053032906,0.48657489934764503
Energy & transport,Welfare state & family,42,0.44953067758540016,0.4520098837204911,0.030593418102483286,0.38013832109587214,0.5141079868030904
Society & ethics,Welfare state & family,24,0.4500818342417176,0.4542497353274511,0.029726098817926257,0.4004800836132936,0.5022996233459313
Energy & transport,Immigration & integration,28,0.45040313154331685,0.4501474319747719,0.03301164276350288,0.3637129976519257,0.5152225657881876
Economy & labour,Health,25,0.45112903241926966,0.4558065584863334,0.025331667346595088,0.3845799961682339,0.4893101951592589
