topic,n_questions,n_pairs,mean,median,std,min,max,q25,q75
Foreign trade & foreign policy,5,10,0.31778075836384173,0.32518690866791855,0.057927378293552566,0.21868813866159265,0.4122785609653563,0.29360700766132414,0.35051532525059126
Education,3,3,0.32130140245847055,0.32290161261795275,0.0028933146643376085,0.31796146168896755,0.32304113306849147,0.3204315371534602,0.3229713728432221
Federal budget,8,28,0.357915102562753,0.3678151708570349,0.04302216662943097,0.22215348081194955,0.4178754755919475,0.34655667259701156,0.3891047591508268
Immigration & integration,4,6,0.35983210661027193,0.3702377356731338,0.04797229794906449,0.28170273687179465,0.41932884746895377,0.3394926978512416,0.38374035796628725
Finances & taxes,4,6,0.3719635748960665,0.36781467844488647,0.0307641050381431,0.34143046766758967,0.42506025672548375,0.34970918705871856,0.3814441782338889
Welfare state & family,6,15,0.38405227435392625,0.38767532566160445,0.0548787034906737,0.23208362745977515,0.4659581010589298,0.3612958580299135,0.4218539407481474
Security & military,5,10,0.38771033900997176,0.3951859391305451,0.06657911646769309,0.27947437541512077,0.45749217209086107,0.3444631213226116,0.4504624807479992
Health,5,10,0.39992533728368707,0.40971046797052807,0.044731179500222935,0.3163173220903252,0.45074971582929524,0.3881931708275598,0.4311411745409587
Energy & transport,7,21,0.40721753715986475,0.41815523639827223,0.05523483456985743,0.30228868717449014,0.4847291451621376,0.36446491316429414,0.4573662988794736
Nature conservation,6,15,0.40733669483337664,0.40734129828507964,0.05380430361799236,0.327080654125215,0.4907954071927493,0.36723929224840074,0.4499179796608551
"Democracy, Media & Digitalization",6,15,0.41310577208564275,0.4124517239151109,0.04598656787218228,0.3345371601806712,0.48179394090927213,0.3814797817232626,0.4479036149639922
Values,7,21,0.4132446065410675,0.42014253718085615,0.041450305749984165,0.3038937916690472,0.4562809972815267,0.40350130836813575,0.44481403494105487
Society & ethics,4,6,0.43392950018255,0.451296522878863,0.046909534714176214,0.34037861443658807,0.4661247490176085,0.4394559243338825,0.45705278101808194
Economy & labour,5,10,0.4495545744311845,0.45456875300470934,0.027828143070167705,0.39360284628963216,0.4800711126102484,0.4381801306163807,0.46739757519044345
